iter	Passed	Remaining
0	68	68586
1	104	51962
2	156	51911
3	199	49554
4	253	50347
5	309	51247
6	353	50116
7	407	50586
8	463	51079
9	504	49944
10	540	48583
11	585	48244
12	629	47786
13	671	47287
14	713	46876
15	746	45931
16	791	45762
17	832	45428
18	871	44987
19	909	44547
20	950	44303
21	987	43913
22	1028	43697
23	1070	43515
24	1112	43374
25	1150	43101
26	1198	43185
27	1236	42927
28	1281	42923
29	1322	42766
30	1348	42138
31	1369	41423
32	1389	40724
33	1418	40301
34	1451	40025
35	1496	40060
36	1523	39648
37	1556	39400
38	1596	39350
39	1638	39320
40	1662	38887
41	1702	38834
42	1740	38745
43	1785	38788
44	1826	38752
45	1867	38735
46	1902	38581
47	1943	38545
48	1984	38523
49	2021	38409
50	2059	38327
51	2097	38238
52	2133	38128
53	2168	37982
54	2187	37584
55	2224	37507
56	2263	37444
57	2282	37072
58	2302	36728
59	2322	36389
60	2342	36057
61	2377	35976
62	2416	35938
63	2458	35950
64	2505	36033
65	2568	36349
66	2633	36673
67	2678	36707
68	2719	36700
69	2759	36662
70	2798	36622
71	2836	36557
72	2878	36546
73	2920	36543
74	2945	36326
75	2972	36133
76	3017	36165
77	3059	36163
78	3098	36123
79	3142	36137
80	3185	36136
81	3226	36120
82	3259	36007
83	3278	35746
84	3300	35533
85	3319	35280
86	3338	35039
87	3370	34930
88	3410	34904
89	3442	34807
90	3461	34579
91	3479	34343
92	3497	34110
93	3536	34089
94	3575	34060
95	3614	34034
96	3653	34013
97	3691	33980
98	3721	33873
99	3746	33720
100	3766	33524
101	3806	33510
102	3828	33341
103	3849	33160
104	3872	33005
105	3892	32831
106	3934	32836
107	3953	32654
108	3973	32477
