timestamp,open,high,low,close,volume,datetime
1742355900,42.51,42.84,42.51,42.69,101969,2025-03-19 03:45:00
1742355960,42.75,42.91,42.75,42.86,48878,2025-03-19 03:46:00
1742356020,42.9,43.1,42.9,42.94,87016,2025-03-19 03:47:00
1742356080,42.94,43.06,42.94,43.06,64491,2025-03-19 03:48:00
1742356140,43.09,43.28,43.09,43.28,48555,2025-03-19 03:49:00
1742356200,43.26,43.35,43.25,43.26,57694,2025-03-19 03:50:00
1742356260,43.26,43.28,43.15,43.28,52229,2025-03-19 03:51:00
1742356320,43.28,43.39,43.27,43.34,42728,2025-03-19 03:52:00
1742356380,43.3,43.34,43.24,43.32,29375,2025-03-19 03:53:00
1742356440,43.3,43.3,43.17,43.17,11201,2025-03-19 03:54:00
1742356500,43.21,43.28,43.21,43.21,51934,2025-03-19 03:55:00
1742356560,43.18,43.18,43.13,43.15,23840,2025-03-19 03:56:00
1742356620,43.16,43.16,43.03,43.03,57120,2025-03-19 03:57:00
1742356680,43.03,43.12,43.03,43.09,10959,2025-03-19 03:58:00
1742356740,43.16,43.19,43.13,43.16,11730,2025-03-19 03:59:00
1742356800,43.18,43.29,43.14,43.29,14013,2025-03-19 04:00:00
1742356860,43.22,43.35,43.22,43.3,43081,2025-03-19 04:01:00
1742356920,43.3,43.35,43.26,43.35,9003,2025-03-19 04:02:00
1742356980,43.35,43.38,43.35,43.36,22467,2025-03-19 04:03:00
1742357040,43.34,43.36,43.3,43.35,29688,2025-03-19 04:04:00
1742357100,43.32,43.32,43.27,43.32,14746,2025-03-19 04:05:00
1742357160,43.28,43.32,43.25,43.25,36398,2025-03-19 04:06:00
1742357220,43.25,43.25,43.16,43.16,15284,2025-03-19 04:07:00
1742357280,43.2,43.24,43.15,43.2,29119,2025-03-19 04:08:00
1742357340,43.19,43.2,43.09,43.13,18239,2025-03-19 04:09:00
1742357400,43.1,43.15,43.1,43.15,42384,2025-03-19 04:10:00
1742357460,43.12,43.15,43.06,43.09,16535,2025-03-19 04:11:00
1742357520,43.05,43.11,43.05,43.11,7541,2025-03-19 04:12:00
1742357580,43.11,43.2,43.11,43.19,9729,2025-03-19 04:13:00
1742357640,43.19,43.19,43.14,43.15,3184,2025-03-19 04:14:00
1742357700,43.18,43.22,43.17,43.19,3514,2025-03-19 04:15:00
1742357760,43.19,43.19,43.13,43.15,6165,2025-03-19 04:16:00
1742357820,43.15,43.19,43.15,43.15,2461,2025-03-19 04:17:00
1742357880,43.19,43.19,43.13,43.15,37617,2025-03-19 04:18:00
1742357940,43.15,43.19,43.15,43.15,2494,2025-03-19 04:19:00
1742358000,43.16,43.18,43.1,43.15,26355,2025-03-19 04:20:00
1742358060,43.16,43.16,43.12,43.12,1817,2025-03-19 04:21:00
1742358120,43.17,43.18,43.13,43.18,12830,2025-03-19 04:22:00
1742358180,43.18,43.18,43.08,43.1,33515,2025-03-19 04:23:00
1742358240,43.1,43.14,43.08,43.09,13252,2025-03-19 04:24:00
1742358300,43.09,43.09,42.96,43.01,76128,2025-03-19 04:25:00
1742358360,43.02,43.1,43.01,43.06,3392,2025-03-19 04:26:00
1742358420,43.06,43.14,43.06,43.1,6012,2025-03-19 04:27:00
1742358480,43.13,43.13,43.05,43.09,6778,2025-03-19 04:28:00
1742358540,43.07,43.13,43.07,43.1,7942,2025-03-19 04:29:00
1742358600,43.13,43.17,43.11,43.17,11005,2025-03-19 04:30:00
1742358660,43.17,43.21,43.16,43.18,23397,2025-03-19 04:31:00
1742358720,43.2,43.22,43.17,43.2,2780,2025-03-19 04:32:00
1742358780,43.16,43.18,43.14,43.17,19952,2025-03-19 04:33:00
1742358840,43.16,43.18,43.13,43.18,3534,2025-03-19 04:34:00
1742358900,43.18,43.18,43.11,43.12,7151,2025-03-19 04:35:00
1742358960,43.16,43.16,43.1,43.16,9186,2025-03-19 04:36:00
1742359020,43.16,43.16,43.13,43.13,7308,2025-03-19 04:37:00
1742359080,43.15,43.15,43.1,43.14,717,2025-03-19 04:38:00
1742359140,43.12,43.14,43.07,43.09,10024,2025-03-19 04:39:00
1742359200,43.05,43.1,43.04,43.08,1538,2025-03-19 04:40:00
1742359260,43.08,43.08,43.03,43.08,23813,2025-03-19 04:41:00
1742359320,43.08,43.09,43.06,43.06,5364,2025-03-19 04:42:00
1742359380,43.06,43.15,43.06,43.11,3163,2025-03-19 04:43:00
1742359440,43.14,43.14,43.1,43.13,2610,2025-03-19 04:44:00
1742359500,43.14,43.14,43.12,43.14,473,2025-03-19 04:45:00
1742359560,43.14,43.14,43.12,43.14,6445,2025-03-19 04:46:00
1742359620,43.14,43.2,43.13,43.17,8247,2025-03-19 04:47:00
1742359680,43.2,43.25,43.16,43.24,17829,2025-03-19 04:48:00
1742359740,43.2,43.24,43.2,43.24,3495,2025-03-19 04:49:00
1742359800,43.23,43.3,43.23,43.3,21710,2025-03-19 04:50:00
1742359860,43.3,43.33,43.3,43.33,17637,2025-03-19 04:51:00
1742359920,43.37,43.55,43.37,43.47,71511,2025-03-19 04:52:00
1742359980,43.47,43.47,43.38,43.39,15448,2025-03-19 04:53:00
1742360040,43.41,43.41,43.39,43.39,1309,2025-03-19 04:54:00
1742360100,43.39,43.41,43.37,43.38,5708,2025-03-19 04:55:00
1742360160,43.34,43.4,43.34,43.4,6591,2025-03-19 04:56:00
1742360220,43.4,43.4,43.37,43.38,870,2025-03-19 04:57:00
1742360280,43.4,43.4,43.37,43.38,1740,2025-03-19 04:58:00
1742360340,43.38,43.45,43.38,43.45,21361,2025-03-19 04:59:00
1742360400,43.45,43.46,43.42,43.46,7439,2025-03-19 05:00:00
1742360460,43.39,43.45,43.39,43.43,27028,2025-03-19 05:01:00
1742360520,43.45,43.45,43.37,43.38,5992,2025-03-19 05:02:00
1742360580,43.42,43.42,43.37,43.4,4876,2025-03-19 05:03:00
1742360640,43.4,43.45,43.39,43.43,11622,2025-03-19 05:04:00
1742360700,43.43,43.44,43.4,43.44,1629,2025-03-19 05:05:00
1742360760,43.4,43.43,43.35,43.39,19570,2025-03-19 05:06:00
1742360820,43.39,43.4,43.37,43.39,3432,2025-03-19 05:07:00
1742360880,43.4,43.43,43.39,43.43,11664,2025-03-19 05:08:00
1742360940,43.41,43.44,43.4,43.44,6456,2025-03-19 05:09:00
1742361000,43.43,43.45,43.41,43.45,6493,2025-03-19 05:10:00
1742361060,43.45,43.45,43.41,43.45,3994,2025-03-19 05:11:00
1742361120,43.45,43.47,43.42,43.47,8456,2025-03-19 05:12:00
1742361180,43.47,43.47,43.43,43.47,2714,2025-03-19 05:13:00
1742361240,43.47,43.48,43.46,43.46,3955,2025-03-19 05:14:00
1742361300,43.48,43.55,43.48,43.53,26063,2025-03-19 05:15:00
1742361360,43.52,43.58,43.5,43.52,11116,2025-03-19 05:16:00
1742361420,43.53,43.54,43.51,43.53,7902,2025-03-19 05:17:00
1742361480,43.5,43.5,43.41,43.41,13616,2025-03-19 05:18:00
1742361540,43.43,43.43,43.39,43.43,2428,2025-03-19 05:19:00
1742361600,43.43,43.43,43.4,43.4,13174,2025-03-19 05:20:00
1742361660,43.45,43.47,43.44,43.44,8241,2025-03-19 05:21:00
1742361720,43.41,43.45,43.35,43.44,16036,2025-03-19 05:22:00
1742361780,43.44,43.44,43.38,43.41,5779,2025-03-19 05:23:00
1742361840,43.4,43.4,43.37,43.38,1664,2025-03-19 05:24:00
1742361900,43.38,43.4,43.37,43.38,771,2025-03-19 05:25:00
1742361960,43.38,43.4,43.38,43.38,2673,2025-03-19 05:26:00
1742362020,43.4,43.4,43.38,43.39,510,2025-03-19 05:27:00
1742362080,43.4,43.4,43.38,43.38,1944,2025-03-19 05:28:00
1742362140,43.38,43.39,43.37,43.38,5360,2025-03-19 05:29:00
1742362200,43.38,43.4,43.36,43.37,11556,2025-03-19 05:30:00
1742362260,43.37,43.4,43.37,43.4,1036,2025-03-19 05:31:00
1742362320,43.37,43.41,43.37,43.41,8321,2025-03-19 05:32:00
1742362380,43.41,43.41,43.37,43.37,3651,2025-03-19 05:33:00
1742362440,43.37,43.39,43.37,43.37,3657,2025-03-19 05:34:00
1742362500,43.39,43.39,43.35,43.36,517,2025-03-19 05:35:00
1742362560,43.38,43.38,43.35,43.36,1401,2025-03-19 05:36:00
1742362620,43.36,43.36,43.32,43.34,5868,2025-03-19 05:37:00
1742362680,43.32,43.34,43.3,43.3,6532,2025-03-19 05:38:00
1742362740,43.3,43.32,43.29,43.32,3561,2025-03-19 05:39:00
1742362800,43.32,43.34,43.28,43.28,10475,2025-03-19 05:40:00
1742362860,43.28,43.29,43.26,43.26,1539,2025-03-19 05:41:00
1742362920,43.24,43.24,43.22,43.23,7930,2025-03-19 05:42:00
1742362980,43.23,43.29,43.23,43.28,5035,2025-03-19 05:43:00
1742363040,43.28,43.3,43.24,43.28,6608,2025-03-19 05:44:00
1742363100,43.28,43.3,43.28,43.29,13141,2025-03-19 05:45:00
1742363160,43.29,43.4,43.29,43.4,48044,2025-03-19 05:46:00
1742363220,43.4,43.4,43.35,43.35,490,2025-03-19 05:47:00
1742363280,43.35,43.38,43.33,43.35,19196,2025-03-19 05:48:00
1742363340,43.35,43.38,43.35,43.38,887,2025-03-19 05:49:00
1742363400,43.38,43.38,43.34,43.34,7867,2025-03-19 05:50:00
1742363460,43.34,43.36,43.34,43.36,1128,2025-03-19 05:51:00
1742363520,43.36,43.36,43.31,43.34,4887,2025-03-19 05:52:00
1742363580,43.34,43.34,43.3,43.34,2605,2025-03-19 05:53:00
1742363640,43.34,43.34,43.29,43.31,4612,2025-03-19 05:54:00
1742363700,43.31,43.31,43.28,43.31,225,2025-03-19 05:55:00
1742363760,43.31,43.31,43.28,43.28,2077,2025-03-19 05:56:00
1742363820,43.28,43.29,43.26,43.29,796,2025-03-19 05:57:00
1742363880,43.29,43.34,43.27,43.3,9229,2025-03-19 05:58:00
1742363940,43.3,43.33,43.27,43.3,2470,2025-03-19 05:59:00
1742364000,43.3,43.3,43.28,43.28,1304,2025-03-19 06:00:00
1742364060,43.28,43.28,43.26,43.28,4938,2025-03-19 06:01:00
1742364120,43.28,43.29,43.26,43.29,1826,2025-03-19 06:02:00
1742364180,43.29,43.29,43.25,43.29,772,2025-03-19 06:03:00
1742364240,43.26,43.29,43.26,43.26,141,2025-03-19 06:04:00
1742364300,43.26,43.29,43.26,43.29,1383,2025-03-19 06:05:00
1742364360,43.26,43.3,43.26,43.3,2061,2025-03-19 06:06:00
1742364420,43.3,43.32,43.3,43.32,3193,2025-03-19 06:07:00
1742364480,43.3,43.32,43.3,43.31,4639,2025-03-19 06:08:00
1742364540,43.31,43.32,43.3,43.32,649,2025-03-19 06:09:00
1742364600,43.32,43.33,43.31,43.33,713,2025-03-19 06:10:00
1742364660,43.33,43.35,43.32,43.35,2049,2025-03-19 06:11:00
1742364720,43.33,43.34,43.32,43.34,11248,2025-03-19 06:12:00
1742364780,43.34,43.35,43.32,43.34,1219,2025-03-19 06:13:00
1742364840,43.32,43.34,43.31,43.31,5307,2025-03-19 06:14:00
1742364900,43.31,43.35,43.29,43.33,14599,2025-03-19 06:15:00
1742364960,43.31,43.35,43.31,43.35,13730,2025-03-19 06:16:00
1742365020,43.35,43.35,43.31,43.31,496,2025-03-19 06:17:00
1742365080,43.34,43.34,43.31,43.33,1464,2025-03-19 06:18:00
1742365140,43.33,43.38,43.31,43.38,10262,2025-03-19 06:19:00
1742365200,43.36,43.36,43.31,43.33,406,2025-03-19 06:20:00
1742365260,43.33,43.38,43.33,43.38,1489,2025-03-19 06:21:00
1742365320,43.38,43.38,43.35,43.35,2212,2025-03-19 06:22:00
1742365380,43.38,43.38,43.34,43.34,2489,2025-03-19 06:23:00
1742365440,43.34,43.38,43.34,43.38,1764,2025-03-19 06:24:00
1742365500,43.38,43.38,43.35,43.35,1534,2025-03-19 06:25:00
1742365560,43.35,43.35,43.34,43.35,1283,2025-03-19 06:26:00
1742365620,43.35,43.36,43.34,43.34,479,2025-03-19 06:27:00
1742365680,43.34,43.37,43.32,43.32,4695,2025-03-19 06:28:00
1742365740,43.34,43.37,43.32,43.32,2817,2025-03-19 06:29:00
1742365800,43.32,43.34,43.31,43.32,310,2025-03-19 06:30:00
1742365860,43.32,43.36,43.32,43.36,821,2025-03-19 06:31:00
1742365920,43.36,43.36,43.33,43.33,2115,2025-03-19 06:32:00
1742365980,43.33,43.37,43.32,43.37,1076,2025-03-19 06:33:00
1742366040,43.37,43.37,43.33,43.36,686,2025-03-19 06:34:00
1742366100,43.36,43.36,43.33,43.33,600,2025-03-19 06:35:00
1742366160,43.33,43.36,43.32,43.36,1756,2025-03-19 06:36:00
