timestamp,open,high,low,close,volume,datetime
1742355900,252.9,255.4,252.5,255.03,37485,2025-03-19 03:45:00
1742355960,255.03,255.86,254.75,255.34,20497,2025-03-19 03:46:00
1742356020,255.34,256.79,254.7,256.79,13150,2025-03-19 03:47:00
1742356080,256.58,257.1,255.82,255.85,13470,2025-03-19 03:48:00
1742356140,255.83,256.7,255.83,256.7,4468,2025-03-19 03:49:00
1742356200,256.7,256.99,255.49,256.99,24478,2025-03-19 03:50:00
1742356260,256.18,256.42,255.6,256.41,15115,2025-03-19 03:51:00
1742356320,256.79,257.39,256.28,256.5,16194,2025-03-19 03:52:00
1742356380,256.31,256.5,255.6,255.99,9720,2025-03-19 03:53:00
1742356440,255.99,255.99,254.7,254.93,13137,2025-03-19 03:54:00
1742356500,254.93,254.93,254.25,254.93,13847,2025-03-19 03:55:00
1742356560,254.93,255.74,254.88,255.74,4469,2025-03-19 03:56:00
1742356620,255.74,256.1,255.71,255.98,3268,2025-03-19 03:57:00
1742356680,255.98,256.93,255.98,256.91,8689,2025-03-19 03:58:00
1742356740,257.0,257.99,256.85,257.99,23834,2025-03-19 03:59:00
1742356800,257.75,258.5,257.69,258.5,16956,2025-03-19 04:00:00
1742356860,258.5,258.62,257.26,257.26,15303,2025-03-19 04:01:00
1742356920,257.46,257.65,257.26,257.31,6026,2025-03-19 04:02:00
1742356980,257.4,257.63,257.28,257.46,6843,2025-03-19 04:03:00
1742357040,257.44,257.44,257.12,257.31,4731,2025-03-19 04:04:00
1742357100,257.31,257.4,256.6,256.6,16295,2025-03-19 04:05:00
1742357160,256.6,256.79,256.5,256.71,1167,2025-03-19 04:06:00
1742357220,256.71,256.86,256.58,256.76,3732,2025-03-19 04:07:00
1742357280,256.68,256.79,256.5,256.5,1579,2025-03-19 04:08:00
1742357340,256.46,256.46,255.78,255.88,6540,2025-03-19 04:09:00
1742357400,255.57,255.78,255.5,255.66,3026,2025-03-19 04:10:00
1742357460,255.67,255.86,255.01,255.21,4202,2025-03-19 04:11:00
1742357520,255.1,255.67,255.1,255.54,3355,2025-03-19 04:12:00
1742357580,255.65,255.82,255.52,255.8,1202,2025-03-19 04:13:00
1742357640,255.7,256.1,255.7,256.04,3258,2025-03-19 04:14:00
1742357700,255.96,256.0,255.69,255.69,3827,2025-03-19 04:15:00
1742357760,255.52,255.56,255.36,255.41,984,2025-03-19 04:16:00
1742357820,255.41,256.08,255.41,255.95,2010,2025-03-19 04:17:00
1742357880,255.95,255.95,255.8,255.95,275,2025-03-19 04:18:00
1742357940,255.85,256.0,255.67,255.67,3443,2025-03-19 04:19:00
1742358000,255.99,255.99,255.41,255.7,3608,2025-03-19 04:20:00
1742358060,255.7,255.7,255.6,255.66,3951,2025-03-19 04:21:00
1742358120,255.6,255.7,255.48,255.53,1336,2025-03-19 04:22:00
1742358180,255.36,255.6,255.3,255.34,5619,2025-03-19 04:23:00
1742358240,255.44,255.45,255.11,255.18,1835,2025-03-19 04:24:00
1742358300,255.2,256.44,255.0,256.24,498706,2025-03-19 04:25:00
1742358360,256.23,256.57,256.05,256.57,5544,2025-03-19 04:26:00
1742358420,256.71,256.9,256.67,256.76,1480,2025-03-19 04:27:00
1742358480,256.62,256.74,256.5,256.5,6102,2025-03-19 04:28:00
1742358540,256.5,256.65,256.5,256.59,522,2025-03-19 04:29:00
1742358600,256.61,257.23,256.61,257.03,5206,2025-03-19 04:30:00
1742358660,257.23,257.39,257.12,257.25,2480,2025-03-19 04:31:00
1742358720,257.25,257.71,257.13,257.59,3463,2025-03-19 04:32:00
1742358780,257.4,257.89,257.4,257.75,33642,2025-03-19 04:33:00
1742358840,258.0,258.0,257.64,257.72,5213,2025-03-19 04:34:00
1742358900,257.72,257.72,257.41,257.46,3198,2025-03-19 04:35:00
1742358960,257.4,257.4,256.98,256.98,4609,2025-03-19 04:36:00
1742359020,256.82,256.82,256.51,256.78,4162,2025-03-19 04:37:00
1742359080,256.65,256.65,256.23,256.29,2756,2025-03-19 04:38:00
1742359140,256.29,256.49,256.2,256.27,3839,2025-03-19 04:39:00
1742359200,256.1,256.39,256.1,256.34,1495,2025-03-19 04:40:00
1742359260,256.36,256.71,256.36,256.71,2384,2025-03-19 04:41:00
1742359320,256.61,256.82,256.5,256.81,467,2025-03-19 04:42:00
1742359380,256.82,257.19,256.71,256.71,2930,2025-03-19 04:43:00
1742359440,256.67,256.81,256.65,256.65,1415,2025-03-19 04:44:00
1742359500,256.65,256.69,256.52,256.52,1133,2025-03-19 04:45:00
1742359560,256.53,257.01,256.53,256.79,3641,2025-03-19 04:46:00
1742359620,256.84,256.96,256.67,256.72,1146,2025-03-19 04:47:00
1742359680,256.75,257.03,256.75,256.85,1114,2025-03-19 04:48:00
1742359740,257.03,257.32,256.93,257.31,4904,2025-03-19 04:49:00
1742359800,257.31,257.31,256.75,256.76,491,2025-03-19 04:50:00
1742359860,256.75,257.13,256.75,257.13,1237,2025-03-19 04:51:00
1742359920,256.91,257.05,256.84,256.84,884,2025-03-19 04:52:00
1742359980,256.82,256.85,256.78,256.81,319,2025-03-19 04:53:00
1742360040,256.82,257.02,256.79,257.02,639,2025-03-19 04:54:00
1742360100,257.02,257.35,257.02,257.15,1664,2025-03-19 04:55:00
1742360160,257.15,257.54,257.08,257.54,6546,2025-03-19 04:56:00
1742360220,257.15,257.25,256.89,256.89,2977,2025-03-19 04:57:00
1742360280,257.15,257.43,257.07,257.23,2529,2025-03-19 04:58:00
1742360340,257.45,257.45,257.22,257.26,2078,2025-03-19 04:59:00
1742360400,257.23,257.25,256.86,256.86,4214,2025-03-19 05:00:00
1742360460,257.0,257.21,257.0,257.21,2944,2025-03-19 05:01:00
1742360520,257.14,257.5,257.14,257.39,4507,2025-03-19 05:02:00
1742360580,257.39,257.73,257.34,257.73,8605,2025-03-19 05:03:00
1742360640,257.63,257.95,257.63,257.95,4818,2025-03-19 05:04:00
1742360700,257.99,258.0,257.64,257.64,3213,2025-03-19 05:05:00
1742360760,257.75,257.75,257.36,257.48,1355,2025-03-19 05:06:00
1742360820,257.45,257.55,257.45,257.5,366,2025-03-19 05:07:00
1742360880,257.5,257.61,257.47,257.47,440,2025-03-19 05:08:00
1742360940,257.47,257.9,257.47,257.9,509,2025-03-19 05:09:00
1742361000,257.76,258.06,257.76,258.06,5067,2025-03-19 05:10:00
1742361060,257.91,258.36,257.91,258.34,1244,2025-03-19 05:11:00
1742361120,258.35,258.4,258.34,258.35,782,2025-03-19 05:12:00
1742361180,258.2,258.2,258.01,258.01,758,2025-03-19 05:13:00
1742361240,258.0,258.38,258.0,258.18,2404,2025-03-19 05:14:00
1742361300,258.2,258.5,258.16,258.27,9056,2025-03-19 05:15:00
1742361360,258.16,258.5,258.16,258.45,3641,2025-03-19 05:16:00
1742361420,258.37,258.5,258.27,258.5,4195,2025-03-19 05:17:00
1742361480,258.28,258.34,258.27,258.31,2130,2025-03-19 05:18:00
1742361540,258.31,258.31,258.06,258.31,2200,2025-03-19 05:19:00
1742361600,258.19,258.35,258.18,258.2,1301,2025-03-19 05:20:00
1742361660,258.41,258.8,258.36,258.75,15086,2025-03-19 05:21:00
1742361720,258.75,258.75,258.43,258.43,3499,2025-03-19 05:22:00
1742361780,258.47,258.95,258.3,258.95,10957,2025-03-19 05:23:00
1742361840,258.95,259.15,258.82,259.0,11584,2025-03-19 05:24:00
1742361900,259.0,259.0,258.9,258.95,485,2025-03-19 05:25:00
1742361960,258.9,259.48,258.9,259.39,7005,2025-03-19 05:26:00
1742362020,259.39,259.87,259.39,259.66,4350,2025-03-19 05:27:00
1742362080,259.7,259.71,259.62,259.7,1047,2025-03-19 05:28:00
1742362140,259.62,259.9,259.42,259.42,8780,2025-03-19 05:29:00
1742362200,259.42,259.42,258.69,259.0,5991,2025-03-19 05:30:00
1742362260,258.77,259.0,258.52,258.54,4587,2025-03-19 05:31:00
1742362320,258.54,258.85,258.54,258.85,355,2025-03-19 05:32:00
1742362380,258.85,258.98,258.85,258.98,514,2025-03-19 05:33:00
1742362440,258.98,259.0,258.88,259.0,1457,2025-03-19 05:34:00
1742362500,259.0,259.0,258.89,258.9,1210,2025-03-19 05:35:00
1742362560,258.9,258.9,258.85,258.9,1879,2025-03-19 05:36:00
1742362620,258.73,258.75,258.68,258.68,272,2025-03-19 05:37:00
1742362680,258.68,258.8,258.62,258.7,1503,2025-03-19 05:38:00
