timestamp,open,high,low,close,volume,datetime
1742355900,52.0,52.09,51.67,51.9,53163,2025-03-19 03:45:00
1742355960,51.9,52.05,51.81,51.86,33235,2025-03-19 03:46:00
1742356020,51.94,51.94,51.82,51.82,16236,2025-03-19 03:47:00
1742356080,51.82,51.92,51.82,51.85,6924,2025-03-19 03:48:00
1742356140,51.85,51.92,51.85,51.92,12011,2025-03-19 03:49:00
1742356200,51.87,51.91,51.78,51.85,44912,2025-03-19 03:50:00
1742356260,51.85,51.85,51.72,51.73,25632,2025-03-19 03:51:00
1742356320,51.72,51.85,51.72,51.82,12069,2025-03-19 03:52:00
1742356380,51.8,51.82,51.75,51.81,8492,2025-03-19 03:53:00
1742356440,51.79,51.82,51.76,51.76,10543,2025-03-19 03:54:00
1742356500,51.76,51.79,51.61,51.62,18161,2025-03-19 03:55:00
1742356560,51.6,51.65,51.6,51.61,8162,2025-03-19 03:56:00
1742356620,51.69,51.69,51.51,51.56,24330,2025-03-19 03:57:00
1742356680,51.55,51.59,51.41,51.49,45885,2025-03-19 03:58:00
1742356740,51.55,51.65,51.5,51.6,30631,2025-03-19 03:59:00
1742356800,51.66,51.69,51.52,51.69,30603,2025-03-19 04:00:00
1742356860,51.63,51.83,51.63,51.68,30237,2025-03-19 04:01:00
1742356920,51.69,51.73,51.62,51.62,7094,2025-03-19 04:02:00
1742356980,51.61,51.67,51.59,51.6,8902,2025-03-19 04:03:00
1742357040,51.59,51.63,51.57,51.58,5210,2025-03-19 04:04:00
1742357100,51.58,51.78,51.58,51.74,57241,2025-03-19 04:05:00
1742357160,51.74,51.74,51.64,51.65,6292,2025-03-19 04:06:00
1742357220,51.63,51.75,51.63,51.65,4760,2025-03-19 04:07:00
1742357280,51.7,51.7,51.63,51.66,8927,2025-03-19 04:08:00
1742357340,51.7,51.7,51.6,51.63,8180,2025-03-19 04:09:00
1742357400,51.66,51.67,51.63,51.64,3079,2025-03-19 04:10:00
1742357460,51.64,51.67,51.53,51.55,127893,2025-03-19 04:11:00
1742357520,51.57,51.62,51.55,51.6,17620,2025-03-19 04:12:00
1742357580,51.56,51.66,51.51,51.6,25969,2025-03-19 04:13:00
1742357640,51.6,51.69,51.6,51.61,13500,2025-03-19 04:14:00
1742357700,51.62,51.69,51.57,51.6,13731,2025-03-19 04:15:00
1742357760,51.57,51.6,51.53,51.58,9772,2025-03-19 04:16:00
1742357820,51.62,51.63,51.56,51.63,4976,2025-03-19 04:17:00
1742357880,51.6,51.62,51.53,51.56,11110,2025-03-19 04:18:00
1742357940,51.56,51.63,51.53,51.56,37090,2025-03-19 04:19:00
1742358000,51.56,51.61,51.55,51.61,8738,2025-03-19 04:20:00
1742358060,51.56,51.61,51.55,51.55,5228,2025-03-19 04:21:00
1742358120,51.55,51.61,51.55,51.55,4009,2025-03-19 04:22:00
1742358180,51.55,51.59,51.54,51.56,8296,2025-03-19 04:23:00
1742358240,51.53,51.58,51.52,51.53,18030,2025-03-19 04:24:00
1742358300,51.53,51.58,51.52,51.52,6520,2025-03-19 04:25:00
1742358360,51.51,51.55,51.5,51.5,4853,2025-03-19 04:26:00
1742358420,51.5,51.55,51.5,51.54,11247,2025-03-19 04:27:00
1742358480,51.54,51.59,51.52,51.58,9755,2025-03-19 04:28:00
1742358540,51.52,51.75,51.52,51.72,23080,2025-03-19 04:29:00
1742358600,51.77,51.92,51.77,51.86,20694,2025-03-19 04:30:00
1742358660,51.86,51.94,51.85,51.85,30449,2025-03-19 04:31:00
1742358720,51.88,51.9,51.85,51.86,8394,2025-03-19 04:32:00
1742358780,51.85,51.88,51.84,51.85,6656,2025-03-19 04:33:00
1742358840,51.89,51.9,51.85,51.88,9899,2025-03-19 04:34:00
1742358900,51.85,51.9,51.85,51.86,15746,2025-03-19 04:35:00
1742358960,51.85,51.9,51.85,51.87,8037,2025-03-19 04:36:00
1742359020,51.85,51.86,51.77,51.81,17060,2025-03-19 04:37:00
1742359080,51.8,51.85,51.76,51.76,5672,2025-03-19 04:38:00
1742359140,51.76,51.82,51.7,51.71,9184,2025-03-19 04:39:00
1742359200,51.71,51.74,51.67,51.67,6539,2025-03-19 04:40:00
1742359260,51.66,51.72,51.63,51.68,6953,2025-03-19 04:41:00
1742359320,51.64,51.69,51.63,51.65,6494,2025-03-19 04:42:00
1742359380,51.65,51.81,51.65,51.81,17458,2025-03-19 04:43:00
1742359440,51.78,51.82,51.74,51.75,6854,2025-03-19 04:44:00
1742359500,51.79,51.81,51.75,51.76,5144,2025-03-19 04:45:00
1742359560,51.75,51.88,51.75,51.82,20484,2025-03-19 04:46:00
1742359620,51.85,51.85,51.82,51.82,4159,2025-03-19 04:47:00
1742359680,51.86,51.86,51.82,51.85,3931,2025-03-19 04:48:00
1742359740,51.82,51.85,51.82,51.82,8308,2025-03-19 04:49:00
1742359800,51.82,51.85,51.82,51.82,14271,2025-03-19 04:50:00
1742359860,51.82,51.86,51.82,51.82,12827,2025-03-19 04:51:00
1742359920,51.85,51.85,51.82,51.83,96603,2025-03-19 04:52:00
1742359980,51.82,51.88,51.8,51.8,9217,2025-03-19 04:53:00
1742360040,51.83,51.85,51.8,51.8,5245,2025-03-19 04:54:00
1742360100,51.89,51.89,51.8,51.8,10428,2025-03-19 04:55:00
1742360160,51.8,51.85,51.8,51.83,4571,2025-03-19 04:56:00
1742360220,51.8,51.8,51.75,51.76,11818,2025-03-19 04:57:00
1742360280,51.75,51.78,51.75,51.75,4226,2025-03-19 04:58:00
1742360340,51.79,51.79,51.74,51.76,5330,2025-03-19 04:59:00
1742360400,51.78,51.81,51.75,51.78,4820,2025-03-19 05:00:00
1742360460,51.76,51.82,51.76,51.82,6902,2025-03-19 05:01:00
1742360520,51.77,51.82,51.76,51.77,3881,2025-03-19 05:02:00
