timestamp,open,high,low,close,volume,datetime
1742355900,67.64,67.78,67.2,67.67,1029492,2025-03-19 03:45:00
1742355960,67.69,67.93,67.67,67.76,850734,2025-03-19 03:46:00
1742356020,67.76,67.84,67.65,67.65,569227,2025-03-19 03:47:00
1742356080,67.59,67.65,67.5,67.52,271499,2025-03-19 03:48:00
1742356140,67.57,67.63,67.52,67.6,181776,2025-03-19 03:49:00
1742356200,67.58,67.65,67.41,67.43,309834,2025-03-19 03:50:00
1742356260,67.4,67.43,67.25,67.32,385629,2025-03-19 03:51:00
1742356320,67.25,67.3,67.2,67.29,201920,2025-03-19 03:52:00
1742356380,67.29,67.29,67.11,67.24,286277,2025-03-19 03:53:00
1742356440,67.24,67.25,67.01,67.07,216180,2025-03-19 03:54:00
1742356500,67.07,67.07,66.9,66.9,554987,2025-03-19 03:55:00
1742356560,66.9,67.15,66.85,67.15,165006,2025-03-19 03:56:00
1742356620,67.18,67.29,67.1,67.23,143107,2025-03-19 03:57:00
1742356680,67.19,67.25,67.11,67.25,67957,2025-03-19 03:58:00
1742356740,67.22,67.38,67.22,67.38,111097,2025-03-19 03:59:00
1742356800,67.41,67.43,67.33,67.35,101117,2025-03-19 04:00:00
1742356860,67.35,67.35,67.22,67.3,202693,2025-03-19 04:01:00
1742356920,67.23,67.4,67.21,67.4,276964,2025-03-19 04:02:00
1742356980,67.39,67.45,67.33,67.37,91842,2025-03-19 04:03:00
1742357040,67.35,67.36,67.28,67.29,122426,2025-03-19 04:04:00
1742357100,67.34,67.38,67.25,67.3,148326,2025-03-19 04:05:00
1742357160,67.27,67.27,67.15,67.15,221094,2025-03-19 04:06:00
1742357220,67.19,67.19,67.13,67.18,199002,2025-03-19 04:07:00
1742357280,67.18,67.21,67.13,67.14,137271,2025-03-19 04:08:00
1742357340,67.14,67.15,67.02,67.02,155244,2025-03-19 04:09:00
1742357400,67.01,67.04,66.89,66.93,488352,2025-03-19 04:10:00
1742357460,66.9,66.99,66.9,66.92,254539,2025-03-19 04:11:00
1742357520,66.95,67.0,66.86,66.9,149285,2025-03-19 04:12:00
1742357580,66.91,67.08,66.9,67.08,183924,2025-03-19 04:13:00
1742357640,67.06,67.1,66.95,67.03,209396,2025-03-19 04:14:00
1742357700,67.03,67.04,66.93,66.93,124959,2025-03-19 04:15:00
1742357760,66.88,66.9,66.75,66.84,348801,2025-03-19 04:16:00
1742357820,66.84,66.99,66.84,66.94,106146,2025-03-19 04:17:00
1742357880,66.93,66.94,66.81,66.81,86448,2025-03-19 04:18:00
1742357940,66.84,66.98,66.82,66.88,230674,2025-03-19 04:19:00
1742358000,66.9,66.98,66.86,66.94,61297,2025-03-19 04:20:00
1742358060,66.94,67.08,66.91,67.07,170315,2025-03-19 04:21:00
1742358120,67.07,67.09,67.04,67.05,58484,2025-03-19 04:22:00
1742358180,67.07,67.12,67.04,67.12,86759,2025-03-19 04:23:00
1742358240,67.12,67.12,67.05,67.09,119592,2025-03-19 04:24:00
1742358300,67.06,67.1,67.03,67.09,96708,2025-03-19 04:25:00
1742358360,67.09,67.09,66.96,67.05,132594,2025-03-19 04:26:00
1742358420,67.0,67.15,67.0,67.14,57197,2025-03-19 04:27:00
1742358480,67.11,67.12,67.05,67.06,46342,2025-03-19 04:28:00
1742358540,67.05,67.1,67.01,67.07,61682,2025-03-19 04:29:00
1742358600,67.09,67.15,67.07,67.15,45506,2025-03-19 04:30:00
1742358660,67.18,67.2,67.14,67.19,92386,2025-03-19 04:31:00
1742358720,67.19,67.19,67.13,67.15,39911,2025-03-19 04:32:00
1742358780,67.12,67.14,67.03,67.05,121449,2025-03-19 04:33:00
1742358840,67.0,67.06,66.98,66.99,188529,2025-03-19 04:34:00
1742358900,66.97,67.05,66.97,67.04,24507,2025-03-19 04:35:00
1742358960,67.04,67.1,67.02,67.06,46799,2025-03-19 04:36:00
1742359020,67.1,67.15,67.07,67.08,21863,2025-03-19 04:37:00
1742359080,67.09,67.14,67.08,67.1,26803,2025-03-19 04:38:00
1742359140,67.13,67.13,67.05,67.05,53509,2025-03-19 04:39:00
1742359200,67.02,67.11,67.0,67.09,47881,2025-03-19 04:40:00
1742359260,67.12,67.12,67.04,67.09,44791,2025-03-19 04:41:00
1742359320,67.04,67.1,67.03,67.06,20273,2025-03-19 04:42:00
1742359380,67.06,67.1,67.04,67.08,35946,2025-03-19 04:43:00
1742359440,67.1,67.1,67.07,67.09,18465,2025-03-19 04:44:00
1742359500,67.09,67.14,67.09,67.13,90349,2025-03-19 04:45:00
1742359560,67.14,67.17,67.11,67.17,30466,2025-03-19 04:46:00
1742359620,67.17,67.17,67.13,67.13,188210,2025-03-19 04:47:00
1742359680,67.18,67.24,67.13,67.23,87186,2025-03-19 04:48:00
1742359740,67.23,67.24,67.2,67.23,115765,2025-03-19 04:49:00
1742359800,67.2,67.23,67.13,67.2,60005,2025-03-19 04:50:00
1742359860,67.19,67.2,67.1,67.15,80327,2025-03-19 04:51:00
1742359920,67.15,67.15,67.1,67.11,34463,2025-03-19 04:52:00
1742359980,67.11,67.15,67.11,67.15,45081,2025-03-19 04:53:00
1742360040,67.15,67.28,67.14,67.28,65741,2025-03-19 04:54:00
1742360100,67.25,67.29,67.21,67.24,40648,2025-03-19 04:55:00
1742360160,67.26,67.27,67.2,67.26,69201,2025-03-19 04:56:00
1742360220,67.26,67.26,67.18,67.25,76224,2025-03-19 04:57:00
1742360280,67.24,67.25,67.16,67.25,86267,2025-03-19 04:58:00
1742360340,67.25,67.25,67.2,67.25,44781,2025-03-19 04:59:00
